商品名称,商品价格,图片链接,成分,型号
The Alpha-Arbutin 2 Discoloration Care Serum,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/The_Alpha-arbutin_2_Serum_18__2.jpg?v=1726731378,: 1.69 fl.oz / 50ml, 
The Niacinamide 15 Serum,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/the-niacinamide-15-serum-cosrx-official-15.jpg?v=1757381343,null,null
COSRX PEPTIDE-132 Ultra Perfect Hair Bonding Treatment,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Peptide_132_Treatment_02_120ml_74dd6f06-574f-4931-99e6-b5541f3521af.jpg?v=1774588957,Salon-grade treatment with patented ,null
The Retinol 0.1 Cream,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/TheRetinol03Cream_16_1136b916-20a5-4a7f-8ae9-031821cab2bb.webp?v=1746679017,null,null
The Retinol 0.5 Oil,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/the-retinol-0-5-oil-cosrx-official-11.jpg?v=1724836593,null,: 20ml / 0.67fl. Oz
Deep Wrinkle Care Boost,"$45.90
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/TheRetinol03Cream_17.webp?v=1765433392,null,The 
Low pH Niacinamide Micellar Cleansing Water,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/LowpH_Cleansingwater_800x1067_02.jpg?v=1774506078,null,"As this face wash is the pH-balanced formula, it will not strip nor irritate your skin during and after cleansing."
Brightening Boost,"$42.50
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/The6_Peptid_Serum_15.jpg?v=1774586420,null," is your intensive, expert-engineered kit to achieve a visibly brightened, glowing, and smooth complexion. This powerful bundle pairs two best-selling formulas for maximum brightening impact with zero irritation."
The Retinol 0.3 Cream,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Peptide_retinol_0.webp?v=1765433392,null,"Experience the full power of retinol with a concentration three times higher than that of The Retinol 0.1 Cream. This formula optimally stabilizes the high retinol content. Recommended for those already familiar with retinol products, this mid-strength retinol cream helps achieve smooth skin, improves texture, enhances elasticity, and reduces wrinkles."
COSRX 5 PDRN Collagen Vitalizing Hydrogel Eye Patch,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/5PDRN_EyePatch_23.webp?v=1772759966,null,"Daily PDRN eye patches formulated with 5 PDRN Complex and low-molecular collagen to brighten dark circles, depuff, and restore vitality to the eye area. Naturally derived orange-tinted hydrogel patches contour closely to the skin for targeted, serum-level care — with just one patch."
COSRX PEPTIDE-132 Ultra Perfect Hair Bonding Oil Serum,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Peptide_132_19.webp?v=1774589017,Lightweight bonding oil serum with patented ,null
Advanced The Vitamin C 23 Serum,From,https://cdn.shopify.com/s/files/1/0513/3775/6828/files/Advanced_VitaminC23_19__3.webp?v=1761640745,null,: 20ml / 0.67fl. oz
COSRX Azelaic Acid 20 B5 Redness Soothing Cream,"$22.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/AzelaicAcid_20_Cream_19-elementor-io-optimized.webp?v=1782711067, AzelaicAcid 20%, 30mL / 1.01 fl. oz.
Peptide-132 Hair Home Care Duo,"$51.00
",https://cdn.shopify.com/s/files/1/0513/3775/6828/files/260703__132_2__800x1067_88212ed7-3f97-48ec-bb03-5acd7be1915d.webp?v=1783410428,null,The 
